sen1_origin_id,sentence1,sen1_paraphrase0,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_task,sen3_origin_id,sentence3,sen3_paraphrase0,sen3_task,sen4_origin_id,sentence4,sen4_paraphrase0,sen4_task
RTE3_dev.column_s1_597,"Many hopes are riding on the sale of Talisman 's holdings in Palm Beach and Hendry counties , which Vice President Al Gore announced with much fanfare last year at the 50 th anniversary of Everglades National Park .","Many hope are riding on the sale of Talisman's holdings in Palm Beach and Hendry counties, announced last year with much fanfare by Vice President Al Gore at the 50th anniversary of Everglades National Park.",QA,RTE3_dev.column_s1_669,Hydrogen cyanide is used in manufacturing chemicals such as tryptophan and other amino acids .,Hydroxycyanide is used in the manufacture of chemicals such as tryptophan and other amino acids.,SUM,RTE2_dev.column_s1_100,"This document declares the ' irrevocable determination ' of Edward VIII to abdicate . By signing this document on December 10 th , 1936 , he gave up his right to the British throne .","This document declarates the'irrevocable determination'of Edward VIII to abdicate, and he gave up his right to the British throne on December 10, 1936.",QA,RTE3_dev.column_s1_190,"In 1975 , a 19 year old Wilkins was handed the captaincy of Chelsea , despite the presence of elder and more experienced players in the squad .","In 1975 a 19-year old Wilkins was tasked with the captaincy of Chelsea, despite the presence of elder and more experienced players in the squad.",IE
RTE3_dev.column_s1_579,"Salma Hayek drew a crowd in Veracruz , Mexico , at the July 8 premiere of ' Nobody Writes to the Colonel ' , a movie based on a short novel by Nobel laureate Gabriel Garcia Marquez .","Salma Hayek drew a crowd in Veracruz, Mexico on July 8 at the Premiere of'Nobody Writes to the Colonel ', a film based on a short novel by NobelLaureate Gabriel Garcia Marquez.",QA,RTE1_dev.column_s1_1486,"Now it 's Romania-Argentina at the Rose Bowl today - and with a victory , it 's on to the quarterfinals at Stanford , and a victory there and Romania will be back in Pasadena for the semifinals and World Cup final .","Romania - Argentina now has a win at Rose Bowl today and is on to the quarterfinals at Stanford and winning there, and Romania will be back in Pasadena for the semifinals and World Cup Finals.",QA,RTE1_dev.column_s1_1474,"To avoid further price-gouging , Norway 's Ministry of Government Administration announced that it was freezing prices on lodging , food and beverages in the Lillehammer area during the Winter Olympics .","For the purpose of avoiding further price gouging, the Norwegian Ministry of the Government Administration announced that it would freeze prices on lodging, food and beverages in the Lillehammer area during the Winter Olympics.",QA,RTE1_dev.column_s1_785,The U.S. Army acceded to a request from the local governor to keep U.S. troops away from the Imam Ali Shrine in Najaf .,The U.S. Army complied with a request from the local governor to keep American troops away from Imam Ali's Shrine in Najaf.,CD
RTE1_dev.column_s1_1197,"Contact with the press will be restricted to `` perodic meetings '' , as promised by all three parties , in order to `` focus their energies '' on the most important issues .","Contact with the press will be restricted as promised by all three parties, to  perodic meetings '', to focus the most important topics ''.",MT,RTE2_dev.column_s1_271,The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people is a reminder of the dangers inherent in this sort of travel .,"The sinking of the ferry on May 3 in the Meghna River, which claimed at least 370 people's lives, is a reminder of the dangers inherent in such travel.",IR,RTE1_dev.column_s1_2104,It could mean to leave in the street to thousands of workers .,It could mean leaving thousands of workers on the street.,MT,RTE3_dev.column_s1_620,"The VW chief has been under intense pressure from the Bonn government and colleagues in German industry to seek conciliation following his outspoken statements last , which were widely seen as damaging Germany 's reputation .",VW chief has been under intense pressure from the Bonn government and from colleagues in the German industry to seek conciliation following his outspoken statements that were widely seen to have damaged Germany's reputation.,SUM
RTE1_dev.column_s1_1636,"Sirhan Sirhan , a Jordanian immigrant , was convicted of murdering Kennedy and is serving a life term at Soledad Prison .","Sirhan Sirhan, a Jordanian immigrant, was convicted of murdering Kennedy and serves life sentence in Soledad prison.",IE,RTE1_dev.column_s1_1600,Schroder Investment Management has indicated its intention to accept Revival 's offer to buy retailer Marks and Spencer .,Schroder Investment Management has indicated that it will accept Revival's offer to buy retailer Marks and Spencer.,IE,RTE3_dev.column_s1_598,"The expulsion of Albanians , which has distracted NATO with a parallel relief operation , has only served to harden the resolve of NATO 's 19 members , who are now willing to approve attacks on more sensitive targets , like Milosevic 's homes and Yugoslavia 's state-run television .",The expulsion of Albanians which distracted NATO with a parallel relief operation has only served to weaken the resolve of NATO's 19 members who are now willing to approve attacks on sensitive targets like Milosevic's homes and the state TV of Yugoslavia.,QA,RTE1_dev.column_s1_538,The Japanese invasion of Manchuria in 1931 and their eventual attack on China in 1937 also lead to vast areas of China not being under Chiang 's control .,The Japanese invasion of Manchuria in 1931 and their eventual attack on China in 1937 also led to the eradication of vast areas of China that were not under Chiang's control.,PP
RTE3_dev.column_s1_735,Trade between China and India is expected to touch $ 20 bn this year and Chinese investors are now rushing into India - lured by the country 's growing wealth .,"Trade between China and India is expected to reach $ 20 billion this year, and Chinese investors are now rushing to India, lured by the country's growing wealth.",SUM,RTE1_dev.column_s1_926,Startling new research into mobile phones claims they may reduce a man 's sperm count by up to 30 % .,Startling new research into mobile phones claims that they can reduce the sperm count of a man by up to 30 %.,RC,RTE1_dev.column_s1_260,"It would create an underclass of illiterate and impoverished residents , deprived of basic skills , including English-language skills , necessary for the integration of immigrant children into our society and our work force .","It would create an underclass of illiterate and poor residents deprived of basic skills, including English language skills, necessary for the integration of immigrants into our society and our working force.",IR,RTE1_dev.column_s1_908,Time Warner is the world 's largest media and Internet company .,Time Warner is the world's largest media and Internet company.,RC
RTE3_dev.column_s1_581,"Two prominent scientists have made guest appearances on the show , paleontologist Stephen Jay Gould and Stephen Hawking , the theoretical physicist whose brilliance has been compared with Einstein 's .","Two prominent scientists have made guest appearances on the show, the paleontologist Stephen Jay Gould and Stephen Hawking, the theoretical physicist whose brilliance is compared to Einstein's.",QA,RTE1_dev.column_s1_34,"Saudi Arabia , the biggest oil producer in the world , was once a supporter of Osama bin Laden and his associates who led attacks against the United States .","Saudi Arabia, the world's largest oil producer, was once a supporter of Osama bin Laden and his associates who led attacks on the United States.",PP,RTE2_dev.column_s1_172,"Valero Energy Corp. , on Monday , said it found `` extensive '' additional damage at its 250,000-barrel-per-day Port Arthur refinery .","On Monday, Valero Energy Corp. said it had found  extensive '' additional damage to its Port Arthur refinery, which offers 250,000 barrels per day.",IE,RTE2_dev.column_s1_171,Hinostroza 's children told police that four hooded individuals broke into the house and shot their mother after having insulted her .,Hinostroza's children told police that four hooded individuals broke into the house and shot their mother after they insulted them.,IE
RTE2_dev.column_s1_747,"The President George Bush administration , on Friday , ordered the sale of 30 million barrels of crude oil from the government 's emergency stockpile to halt runaway oil prices triggered by Hurricane Katrina .",On Friday the President's George Bush Administration ordered the sale of 30 million barrels of crude oil from the government's emergency stockpile to stop runaway oil prices that have been triggered by hurricane Katrina.,SUM,RTE1_dev.column_s1_2143,There is none . They found as many weapons in this masjid as they found weapons of mass destruction in Iraq .,They found as many weapons in this masjid as they found mass destruction weapons in Iraq.,IR,RTE1_dev.column_s1_2110,"Journalists of the concealed BBC , that was made happen through advisers of London industralists , asked Slavkov .","Slavkov asked the Journalists of the concealed BBC, which was made by advisers of London industralists.",MT,RTE3_dev.column_s1_668,RJ Reynolds Tobacco announced yesterday that it plans to build a factory in Turkey to produce cigarettes by late 1993 .,RJ Reynolds Tobacco announced yesterday that it plans to build a factory in Turkey for the production of cigarettes in late 1993.,SUM
RTE3_dev.column_s1_338,"The chain of events which led to the collapse of Barings , Britain 's oldest merchant bank , is a demonstration of how not to manage a derivatives operation .","The chain of events that led to the collapse of Barings, Britain's oldest merchant bank, is a demonstration of how to not manage a derivatives operations.",IR,RTE3_dev.column_s1_747,San Francisco ( Reuters ) - Wal-Mart Stores Inc. said Tuesday that a Massachusetts judge had granted its motion to decertify a class action lawsuit accusing the world 's largest retailer of denying employees breaks .,"Wal-Mart Stores Inc. said on Tuesday, a Massachusetts judge granted its motion to decertify a class-action lawsuit, accusing the world's largest retailer of denying employee breaks.",SUM,RTE1_dev.column_s1_2115,A senior al-Qaeda operative who was said to be planning an attack on Heathrow Airport has been arrested .,A senior al-Qaeda operative planning an attack on Heathrow Airport was arrested. He was said to be planning an attack on the airport.,CD,RTE1_dev.column_s1_524,The trial court may allow the prevailing party reasonable attorney fees as part of costs .,The trial court may award the prevailing party reasonable attorneys'fees as part of its costs.,PP
RTE1_dev.column_s1_2172,"Benjamin Vanderford , 22 , said he posted the 55-second clip , which shows a knife sawing against his neck , on an online file-sharing network in May .","Benjamin Vanderford, 22, said in May he posted the 55-second clip, which shows a knife's cutting against his neck, on an online file sharing network.",CD,RTE2_dev.column_s1_87,"Mexico City ( Mexico ) , 12 Jan 90 ( DPA ) - Salvadoran Social Democratic politician Hector Oqueli Colindres was kidnapped today , in Guatemala city , along with Guatemalan Social Democratic leader Gilda Flores , his party , in Mexico City , reported .","Hector Oqueli Colindres, ( Salvadoran Social Democratic Party ), was kidnapped today, in Guatemala City, together with the Guatemalan Social Democratic leader Gilda Flores his party, reported.",IE,RTE1_dev.column_s1_510,"Exercising the powers referred to in article 15 , paragraph 3 , of the protocol to suppress and punish trafficking in persons , especially women and children , the government of Ecuador makes a reservation with regard to article 15 , paragraph 2 , relating to the settlement of disputes .","The government of Ecuador makes a reservation regarding article 15, paragraph 2, of the protocol to prevent and punish trafficking in persons, particularly women and children.",PP,RTE1_dev.column_s1_518,"In the year 538 , Cyrus set in place a policy which demanded the return of the various gods to their proper places .",In 538 Cyrus established a policy that demanded the return of the various gods to their proper places.,PP
RTE3_dev.column_s1_483,The D-Day was the largest seaborne invasion force ever assembled headed for France on June 6 th 1944 .,"The D-Day was the largest seaborne invasion force ever assembled and went to France on June 6, 1944.",QA,RTE1_dev.column_s1_357,"The funeral procession headed to the headquarters of the United Nations Development Programme in Baghdad , where funeral goers held banners denouncing the Americans as `` Enemies of God . ''","Funeral procession took the United Nations Development Programme's headquarters in Baghdad, where funeral organisers held banners denouncing the Americans as  enemies of God ''.",MT,RTE1_dev.column_s1_533,"Two years ago Moore had a 5,300-pound monument showcasing the Ten Commandments placed in the rotunda of the Judicial Building , which is just down the street from the Capitol , and a federal judge ordered Moore to remove the plaque .","Two years ago, Moore placed a 5,300-pound monument showing the Ten Commandments in the rotunda of the judiciary building, which is located just across the street from the Capitol. A federal judge ordered Moore to remove the plaque.",PP,RTE1_dev.column_s1_2083,"The Irish Sales , Services and Marketing Operation of Microsoft was established in 1991 .","Microsoft's Irish sales, services and marketing operations were founded in 1991.",IE
RTE1_dev.column_s1_954,"Mark Allen , the company 's president and chief operating officer , will become the new CEO .","Mark Allen, the company's president and chief operating officer, will become CEO.",IE,RTE3_dev.column_s1_397,"With the publication of Sophie 's World in 1991 , Gaarder gained international fame . Sophie 's World spent three years as the best selling book in Norway . His first book to be translated into English , Sophie 's World was also the top-selling book in Germany , France , and Great Britain .","Gaarder gained international fame with the publication of Sophie's World in 1991. Sophie's World spent three years as the best-selling book in Norway. His first book translation into English was Sophie's World, also the top-selling book in Germany, France and Great Britain.",IR,RTE1_dev.column_s1_1435,Blair has sympathy for anyone who has lost their lives in Iraq .,Blair has sympathy for anyone who lost his life in Iraq.,PP,RTE3_dev.column_s1_721,"Contrary to what is happening in some other parts of the Amazon , where the forest is being slashed and burned at an alarming rate , those who want to save Acre 's forest seem to be winning .","Contrary to what happens in other parts of Amazon, where the forest is being slashed and burnt at alarming rates, those who want to save Acre's forests seem to win.",SUM
RTE2_dev.column_s1_63,"With Washington hinting it might soften its tough stance to break the deadlock , top US negotiator , Christopher Hill , said the two sides needed to review the situation .","At a time when Washington indicated it would soften its toughstance to break the deadlock, top US negotiator, Christopher Hill, said that the two sides needed to review the situation.",IE,RTE3_dev.column_s1_484,Kohl participated in the late stage of WWII as a teenage soldier . He joined the Christian-Democratic Union ( CDU ) in 1947 .,"Kohl participated as a teenager in the late stage of WWII, joining the Christian Democratic Union ( CDU ) in 1947.",QA,RTE3_dev.column_s1_789,Maximo Rene Mendez in an apparent smuggling scheme died after doctors disconnected life-support equipment .,Maximo Rene Mendez died of an apparent smuggling scheme after doctors cut off life-saving equipment.,SUM,RTE1_dev.column_s1_2107,U.S. crude settled $ 1.32 lower at $ 42.83 a barrel .,"The oil market in the U.S. settled $ 1,32 lower at $ 42.83 a barrel.",MT
RTE3_dev.column_s1_38,"Cte d 'Ivoire , once a haven of stability in West Africa and the world 's top cocoa producer , has been split in two since a failed coup against Gbagbo in September 2002 , pitting rebels from the Muslim-dominated north against the Christian-populated south .","Cte d'Ivoire, once a haven of stability in West Africa and the world's top producer of cocoa, has been divided in two after a failed coup against Gbagbo in September 2002, pitting rebels from the Muslim-dominated north against the Christian-populated south.",IE,RTE1_dev.column_s1_2156,"Gross domestic product , a measure of total output within the nation 's borders , climbed at a 3 % annual pace in the April-June period .","The gross domestic product, a measure of the total production within the nation's borders, rose in the April-June period at a 3 % annual rate.",CD,RTE1_dev.column_s1_1951,Crude oil prices shot to new highs yesterday as markets reacted to a threat by Russian authorities to shut down most of the production from that country 's largest oil company,Crude oil prices on yesterday hit new highs as markets reacted to the threat by Russian authorities to shut down most of the production from this country's largest oil company.,IE,RTE1_dev.column_s1_2137,Swedish Foreign Minister murdered .,"The Swedish Foreign Minister, assassinated, had been murdered.",IR
RTE3_dev.column_s1_493,King Victor Emmanuel III of Italy reigned from 1900 to 1946 .,"Descended the monarchy of Italy, King Victor Emmanuel III of Italy, from 1900 to 1946.",QA,RTE1_dev.column_s1_709,Budapest is Europe 's largest spa town ; there are more than 100 hot springs that spout from Buda 's limestone bedrock .,Budapest is Europe's largest spa city and there are more than 100 hot springs which spit out from Buda's limestone bedrock.,CD,RTE3_dev.column_s1_530,"U.S. Secretary of State Condoleeza Rice has expressed her anger after a meeting with Sudanese President Omar Hassan al-Bashir , during which her aides and staff were mistreated by Sudanese security agents .","Condoleeza Rice expressed her anger after a meeting with Sudanese President Omar Hassan al-Bashir, during which her aides and staff were treated unfairly by Sudanese security agents.",QA,RTE3_dev.column_s1_147,Southwest Airlines on Thursday said rebuilding service at New Orleans was its number one priority as it unveiled its 58 th consecutive quarterly profit and enhanced fuel hedges to extend its competitive advantage over rivals .,Southwest Airlines said on Thursday that rebuilding service was its number 1 priority in New Orleans as it announced its 58th consecutive quarterly profit and enhanced fuel hedges to extend its competitive advantage over rivals.,IE
RTE1_dev.column_s1_541,"The richest provinces , Ontario , Alberta and B.C , have spent billions on tax cuts and slashing services while at the same time howling for Ottawa to give them more money for medicare .","The richest provinces, Ontario, Alberta and B.C, have spent billions on tax cuts and cuts in services while simultaneously whining for Ottawa to give them more money for medicare.",PP,RTE1_dev.column_s1_970,"Warheads believed to contain the deadly nerve agent cyclosarin that were found by Polish troops in Iraq date back to Saddam Hussein 's war with Iran in the 1980 s , authorities said Friday .","Warheads believed to contain the deadly nerve agent Cyclosarin found in Iraq by Polish troops date back to Saddam Hussein's war against Iran in the 1980s, authorities said Friday.",PP,RTE1_dev.column_s1_465,Boise and OfficeMax customers will have the opportunity to get involved with the Belief in Hope campaign in a variety of ways .,Customers from Boise and OfficeMax will be able to participate in the Belief in Hope campaign in a variety of ways.,PP,RTE2_dev.column_s1_536,United States naval forces evacuated U.S. civilians during hostilities between Turkish and Greek Cypriot forces .,US Navy forces evacuated U.S. civilians during hostilities between Turkish and Greek Cypriot forces during the US hostilities.,IR
RTE3_dev.column_s1_350,"The golden jewellery , found in an intact Royal Macedonian tomb in 1977 , is exquisite . It is now the prize exhibit in the archaeological museum in Thessaloniki and the label says that it came from the tomb of Philip II , Alexander the Great 's father .","The golden jewellery found in 1977 in an intact royal Macedonian tomb is exquisite, it is now prized at the archaeological museum in Thessaloniki and the label says it comes from the tomb of Philip II, Alexander the Great's father.",IR,RTE2_dev.column_s1_500,"Warrington-born Chris Evans denies he went wild , despite quitting Radio 1 in 1997 and later being sacked by Virgin Radio for not turning up for work during a five-day drinking binge .","Chris Evans, born in Warrington, denies going wild despite quitting Radio 1 in 1997 and later being sacked by Virgin Radio for not arriving for work during a five-day drinking binge.",IE,RTE3_dev.column_s1_656,The deal marks the second foray into Lithuania by Philip Morris which in April beat British American Tobacco to acquire the Klaipeda Tobacco company for Dollars 40 m - the biggest western investment in the Baltic states so far .,"The deal marks Philip Morris'second entry into Lithuania, which beat British American Tobacco in April to acquire the Klaipeda Tobacco company for Dollars 40 million, the biggest western investment in the Baltic States to date.",SUM,RTE1_dev.column_s1_346,"Ahern , who was travelling to Tokyo for an EU-Japan summit yesterday , will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate to presidency of the European commission .","Ahern, who was yesterday traveling to Tokyo for an EU-Japan summit, will later this week call other EU leaders to consult on the subject of a proposed candidate for the presidency of the European Commission.",RC
RTE1_dev.column_s1_1434,The report catalogues 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot .,The report catalogues 10 missed opportunities within the CIA and FBI to uncover bits of the 9/11 plot.,PP,RTE1_dev.column_s1_191,"Oil prices edged up today as Norwegian employers said they would respond to a strike by locking out all workers next week , threatening to shut off almost all oil and gas output .","Oil prices rose today as Norwegian employers announced that they would respond to a strike by locking out all workers next week, threatening to shut off nearly all oil and gas production.",RC,RTE1_dev.column_s1_735,"Even more than other economic activities , Mexico 's financial services are concentrated in the capital .",Mexico's financial services are concentrated in the capital more than other economic activities.,CD,RTE1_dev.column_s1_557,"If you have rheumatic heart disease , high blood pressure , or diabetes , or take digitalis drugs , vitamin E can be harmful .","Vitamin E is harmful to people who have rheumatic heart disease, high blood pressure, or diabetes or take digitalis drugs.",PP
RTE3_dev.column_s1_459,"Felipe Gonzlez Mrquez ( born March 5 , 1942 ) is a Spanish socialist politician . He was the General Secretary of the Spanish Socialist Workers ' Party ( PSOE ) from 1974 to 1997 .","Felipe Gonzlez Mrquez ( born March 5, 1942 ) is a Spanish socialist politician who was formally Secretary of the Spanish Socialist Workers'Party ( PSOE ) from 1974 to 1997.",QA,RTE1_dev.column_s1_558,"When Albright was the US ambassador to the United Nations , Lesley Stahl of `` 60 Minutes '' asked her about the sanctions and the deaths of Iraqi children . Albright said it was America 's responsibility to make sure the Gulf War did not have to be fought again .","When Albright was the US ambassador at the United Nations, Lesley Stahl from  60 Minutes '' asked about the sanctions and the deaths of Iraqi children, Albright said it was America's responsibility to ensure that the Gulf War did not need to be fought again.",PP,RTE1_dev.column_s1_102,"The White House failed to act on the domestic threat from al Qaeda prior to September 11 , 2001 .","Before September 11, 2001, the White House failed to act on the domestic threat from Al-Qaeda.",IR,RTE1_dev.column_s1_1158,"An official of the International Special Commission in charge of disarming Iraqi weapons ( UNSCOM ) announced yesterday , Saturday , that the Commission will keep its inspectors in Iraq despite Baghdad 's decision to stop its cooperation with them .","Yesterday, a representative of the International Special Commission in charge of disarming Iraqi weapons ( UNSCOM ) announced, today, that the Commission would keep its inspectors in Iraq despite Baghdad's decision to stop their cooperation with them.",MT
RTE1_dev.column_s1_363,Baghdad had announced that it will stop cooperating with UNSCOM completely but indicated that it will not ask for their departure .,"Baghdad announced that it will be completely dropping cooperation with UNSCOM, but indicated that it will not ask for their departure.",MT,RTE1_dev.column_s1_378,"This opinion poll was conducted on the sixth and seventh of October , and included a cross section of 861 adults with a margin of error estimated at 4 % .","This opinion poll was conducted on the 6th and 7th October, and included a cross-section of 861 adults with a margin of error estimated at 4 %.",MT,RTE2_dev.column_s1_620,"Ordonez Reyes accused Jose Jesus Pena , alleged chief of security for the Nicaraguan embassy in Tegucigalpa , of masterminding the January 7 th assassination of contra-commander Manuel Antonio Rugama .","Ordonez Reyes accused Jose Jesus Pena, alleged chief of the security for the Nicaraguan Embassy in Tegucigalpa, of planning the assassination of contra commander Manuel Antonio Rugama on January 7, 2015.",IE,RTE1_dev.column_s1_353,"The humane organization , Caritas , quoting its branch in Iraq , announced today , in Germany , that several Iraqi hospitals , especially Saddam Hospital , which is considered the biggest hospital in Iraq , were hit in the American-British bombing of the Iraqi capital .","Caritas, with its headquarters in Iraq, today announced in Germany that several Iraqi hospitals, especially Saddam Hospital, which is considered the biggest hospital in Iraq, have been struck in the American-British bombing of the Iraqi capital.",MT
RTE1_dev.column_s2_20,Fiber improves blood sugar control .,Fiber improves blood glucose control.,IR,RTE3_dev.column_s2_416,The name of Helmut Kohl 's political party is the Christian Democratic Union .,"Helmut Kohl's political party is the Christian Democratic Union, which is the name of Helmut Kohl's party.",QA,RTE1_dev.column_s2_606,The film `` WarGames '' was shot in 1983 .,The 1983 film was  WarGames ''.,QA,RTE3_dev.column_s2_348,Flooding in Europe causes major economic losses .,"In Europe, floods cause massive economic losses.",IR
RTE3_dev.column_s2_415,The name of Helmut Kohl 's political party is the Christian Democratic Union .,Helmut Kohl's political party's name is the Christian Democratic Union.,QA,RTE3_dev.column_s2_399,Child labor is widely used in Asia .,Child labour is widely used in Asia.,IR,RTE3_dev.column_s2_443,Amnesty International takes care of human rights .,Amnesty International is involved in human rights.,QA,RTE1_dev.column_s2_570,John J. Famalaro is accused of having killed Denise A. Huber .,John J. Famalaro is accused of killing Denise A. Huber.,QA
RTE3_dev.column_s2_480,The Gurkhas come from Nepal .,The Gurkhas originate from Nepal.,QA,RTE1_dev.column_s2_147,The Philippine Stock Exchange Composite Index rose .,The Philippine Stock Exchange Composite Index rose above its base.,RC,RTE3_dev.column_s2_605,African elephants are endangered by ivory poachers .,African elephants are threatened by ivory poachers.,SUM,RTE3_dev.column_s2_461,Neil Armstrong was the first man who landed on the Moon .,Neil Armstrong was the first man to land on the Moon.,QA
RTE3_dev.column_s2_526,12 members of the European Union use the Euro instead of their own national currencies .,12 members of the EU use the euro instead of their own national currency.,QA,RTE1_dev.column_s2_21,"Last year , the tally was 148",Last year the total was 148.,PP,RTE3_dev.column_s2_268,Greece and Macedonia are in dispute over name .,Greece and Macedonia are arguing about name.,IR,RTE3_dev.column_s2_381,The Ebola epidemic breaks out in Zaire .,Ebola-epidemic breaks out in Zaire.,IR
RTE3_dev.column_s2_645,Lopez took documents from GM to VW .,Lopez transferred documents from GM to VW.,SUM,RTE3_dev.column_s2_9,A complete Dakosaurus was discovered by Diego Pol .,"In Diego Pol's expedition, a complete Dakosaurus was discovered.",IE,RTE3_dev.column_s2_427,"More than 200,000 people were killed in the air attack in the Darfur region .","More than 200,000 people were killed in the Darfur Region during the air-attack.",QA,RTE3_dev.column_s2_333,Dam building prevents life-threatening situations .,Building of the dam prevents life-threatening situations.,IR
RTE3_dev.column_s2_361,Russians hold record for longest stay in space .,Russia holds record for longest space stay of the record holders.,IR,RTE1_dev.column_s2_83,Lakers win the championship .,Lakers win championship.,IR,RTE3_dev.column_s2_770,Grameen Bank 's loans are used to buy a cow .,Grameen Bank's loans are used to buy a cow.,SUM,RTE3_dev.column_s2_56,Female mosquitoes spread malaria .,Male mosquitoes spread malaria.,IE
RTE3_dev.column_s2_609,Police use robots for bomb-handling .,Police use robots for bomb handling.,SUM,RTE3_dev.column_s2_585,"Before Salt Lake City , Winter Olympic Games took place in Nagano .",The Winter Olympics took place in Nagano before Salt Lake City.,QA,RTE3_dev.column_s2_292,Greece and Macedonia are in dispute over name .,The name dispute is between Greece and Macedonia.,IR,RTE3_dev.column_s2_310,New Portuguese prime minister is elected .,New Portugaln Prime Minister is elected.,IR
RTE1_dev.column_s2_593,Gene Bartow coaches Alabama Birmingham .,Gene Bartow coach Alabama Birmingham.,QA,RTE3_dev.column_s2_322,Altai ice maiden triggers major dispute .,Altai - Ice Maiden is one of the major events triggers the Altai dispute.,IR,RTE1_dev.column_s2_195,Ashley Olsen plans a trip to Australia with Mary-Kate .,Ashley Olsen plans to take Mary-Kate on a trip to Australia.,RC,RTE3_dev.column_s2_712,In the early 1990 s Brazil began to take action to save the rainforest .,"In the early 1990s, Brazil began to take actions to save the rainforest.",SUM
RTE3_dev.column_s2_337,Barings was Britain 's oldest merchant bank .,Barings was Britain's oldest merchant bank.,IR,RTE1_dev.column_s2_98,prime minister targeted for assassination,Prime Minister targets for assassination by prime minister.,IR,RTE1_dev.column_s2_131,bee stings can be fatal,Beestings can be fatal if they are contaminated bees stings,IR,RTE3_dev.column_s2_204,Sophie 's World is a best seller .,Sophie's World is a best seller.,IR
RTE3_dev.column_s2_364,AIDS spreads in Africa .,HIV spreads in Africa.,IR,RTE3_dev.column_s2_608,The Amazon rain forest is a vast area in South America .,Amazon Rain Forest is a vast region in South America.,SUM,RTE1_dev.column_s2_567,The Italian Prime Minister is Silvio Berlusconi .,Silvio Berlusconi is the Italian Premier.,QA,RTE3_dev.column_s2_711,Sustainable forestry and development techniques are being employed .,Ecological forestry and sustainable development techniques are being used.,SUM
RTE3_dev.column_s2_304,Nick Leeson was arrested for collapse of Barings Bank PLC .,Nick Leeson was arrested for Barings Bank PLC's collapse.,IR,RTE2_dev.column_s2_470,"Arquette , who plays a crime-solving psychic in NBC 's `` Medium '' , won the best drama series actress award .","Arquette, who plays a detective in NBC's  Medium '', won the best drama series actress award.",SUM,RTE3_dev.column_s2_710,"In Africa , rhinos are seriously endangered by poaching .",In Africa rhinos are abused by poachers severely endangered.,SUM,RTE1_dev.column_s2_205,Michael Melvill guided more than 100 rocket-ships above the Earth .,Michael Melvill guided more than 100 rocket ships above the Earth.,RC
RTE1_dev.column_s2_85,Wal-Mart sued for sexual discrimination,Wal-Mart sued Wal-Mart for sexual discrimination in a civil suit.,IR,RTE3_dev.column_s2_250,A spelling reform was approved in all German speaking countries .,"In all German speaking countries, a spelling reform has been approved.",IR,RTE3_dev.column_s2_313,Barings was Britain 's oldest merchant bank .,Barings was Britain's oldest merchant bank.,IR,RTE1_dev.column_s2_148,The Philippine Stock Exchange Composite Index dropped .,The Philippine Stock Exchange Composite Index fell.,RC
RTE3_dev.column_s2_252,National pension systems currently adopted in Europe are in difficulties .,National pension schemes currently adopted in Europe are facing problems.,IR,RTE1_dev.column_s2_130,skin cancer numbers increase .,Number of skin cancers increases.,IR,RTE2_dev.column_s2_771,The appeals court was their last best chance to get that feeding tube reinserted into their daughter .,The appeals court was their last chance to re-inject this feeding tube into their daughter.,SUM,RTE3_dev.column_s2_607,An international convention banned trade in ivory .,An international convention banned trading in ivory.,SUM
RTE3_dev.column_s2_270,Robots are used to find avalanche victims .,Robots are used to locate victims of the avalanche.,IR,RTE3_dev.column_s2_286,An Italian director is awarded an honorary Oscar .,An Italian film director is awarded an honourary Oscar.,IR,RTE3_dev.column_s2_138,Rosneft belonged to the Russian State .,Rosneft was belonging to the Russian state.,IE,RTE3_dev.column_s2_254,People are willing to risk imprisonment rather than perform military service .,People are willing to risk prison rather than carry out military service.,IR
RTE3_dev.column_s2_176,Tom Online earned US $ 42.78 mn in three months .,Tom Online's earned $ 42.78 mn in three months in US dollars.,IE,RTE1_dev.column_s2_110,Wal-Mart faces a sex-discrimination suit,Wal-Mart faces a sex-discrimination suit against a sex discrimination suit.,IR,RTE3_dev.column_s2_709,Clinical trials involve an average of 200 patients per trial .,"Clinical trials involve, on average, 200 patients per trial.",SUM,RTE3_dev.column_s2_163,The House of Assembly of Newfoundland and Labrador vote against the land claims agreement .,The House of Assembly of Newfoundland and Labrador votes against the Land Claim Agreement.,IE
RTE3_dev.column_s2_142,Saint Joan of Arc 's brigade got weapons for combatants .,Saint Joan of Arc's Brigade got weapons for combatants.,IE,RTE1_dev.column_s2_238,Regan was almost assassinated in 1981 .,"In 1981, Regan was nearly assassinated.",RC,RTE3_dev.column_s2_309,US shuttle Atlantis docks with the Mir space station .,US shuttle Atlantis docks at Mir space station.,IR,RTE3_dev.column_s2_312,Italian director is awarded an honorary Oscar .,Italian filmmaker is awarded an Oscar – Honorary .,IR
