sen1_origin_id,sentence1,sen1_paraphrase0,sen1_paraphrase1,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_paraphrase1,sen2_task
RTE3_dev.column_s1_489,"You rifle through your visual memory and there it is : Vermeer , the 17 th-Century Dutch artist who painted extraordinary portraits of women engaged in the ordinary - writing a letter , making lace or putting on a necklace of pearls .","You rifle through your visual memory and there is : Vermeer, the Dutch artist of the 17th century, who painted extraordinary portraits of women that are engaging in ordinary writing a letter, making lace or sewing a pearl necklace.","Suddenly you rifle through your visual memory and there it is : Vermeer, the Dutch artist of the 17th century, who painted extraordinary portraits of women who had engaged themselves in the ordinary : writing a letter, sewing lace or wearing a necklace of pearls.",QA,RTE2_dev.column_s1_148,The unconfirmed case in Dundee concerns a rabies-like virus known only in bats .,"The unconfirmed case in Dundee involves a Rabies-like virus, which is known only in bats.","The unconfirmed case in Dundee concerns a rabies --like virus, which is known only in bats.",IR
RTE3_dev.column_s1_429,"Operation FALCON was conducted during a one week period , April 4-10 , 2005 , chosen to coincide with National Crime Victim 's Rights Week , April 10-16 , the dates being chosen to `` honor the victims '' of violent crime in America . `` By taking violent fugitives off the streets and putting them behind bars where they belong , '' said Attorney General Alberto Gonzales , `` we 've honored the victims and made our streets safer . ''","Operation FALCON was conducted during a week-long period chosen to coincide with National Crime Victim's Rights Week, April 10-16, 2005, chosen to honor the victims of violent crime in America by taking violent fugitives off the streets and putting them where they belong , said attorney general Alberto Gonzales.","Operation FALCON was conducted during a one week period, April 4-10, 2005, chosen to coincide with National Crime Victim's Rights Week, April 10-16, chosen to  honor the victims '' of violent crime in America.  Auxiliary General Alberto Gonzales said :  We've honored victims and made our streets safer. ''",QA,RTE3_dev.column_s1_797,"Iscor , the South African iron and steel manufacturer , has announced plans to develop a steel mini-mill at Saldanha Bay on the country 's west coast in partnership with the state-run industrial development Corporation .","Iscor, South African iron and steel manufacturer, announced plans to construct a steel mini-mill in Saldanha Bay on the country's west coast in partnership with the state -run Industrial Development Corporation.",South African iron and steel producer Iscor announced plans to create a steel mini-mill in Saldanha Bay on the country's West coast in partnership with the state-run Industrial Development Corporation.,SUM
RTE3_dev.column_s1_595,"Among Stellafane 's most ardent partisans is David H. Levy , co-discoverer with Dr. Eugene Shoemaker of a comet named for the two that broke apart in 1994 as it was drawn toward Jupiter , creating fireworks visible from Earth .","Among Stellafane's most ardent partisans is David H. Levy, the co-discoverer of a comet named for the two, which broke apart in 1994 as it was drawn to Jupiter, creating fireworks visible from Earth.","Among Stellafane's most ardent partisans is David H. Levy, co-discoverer of a comet named for the two, named for the two, who was struck in 1994 when it was drawn toward Jupiter, creating fireworks visible from Earth.",QA,RTE2_dev.column_s1_627,"La Paz , 30 May 89 - La Paz Department Police authorities have disclosed that investigations into the murder of two young U.S. citizens are being conducted by a specialized group summoned specially to clarify this crime .","La Paz, May 30, 1989 - La Paz Department Police officials reported that investigations into the murder of two young U.S. citizens are conducted by a specialized group which is specially summoned to clarify this crime.","La Paz, May 30, 89 - La Paz Department Police authorities have revealed that investigation into the murder of two young Americans are being conducted by a special group which is specially constituted to clarify this crime.",IE
RTE2_dev.column_s1_780,"Valero Energy Corp. , on Monday , said it found `` extensive '' additional damage at its 250,000-barrel-per-day Port Arthur refinery .","On Monday Valero Energy Corp.  extensive '' additional damage had been found at its 250,000 barrels-per-day Port Arthur refinery.","On Monday, Valero Energy Corp. said it has found  extensive '' additional damage in its 250,000 barrel-a-day Port Arthur refinery.",IE,RTE3_dev.column_s1_653,Argentina 's campaign to re-establish itself as a trustworthy trading partner was boosted yesterday with the underwriting of a Dollars 9.5 m buyer credit by Britain 's Export Credit Guarantee Department .,Argentina's campaign to re-establish itself as a trusted trading partner was enhanced yesterday with the underwriting of a Dollars 9.5 m buyer credit by the UK's Export Credit Guarantee Department.,Argentina's campaign to reinstate itself as a trustworthy trading partner was recently boosted yesterday with the underwriting of a Dollar 9.5 million buyer credit of the Export Credit Guarantee Department of Britain.,SUM
RTE3_dev.column_s1_75,"In the May 2005 general election Michael Howard failed to unseat the Labour Government , although the Conservatives did gain 33 seats , playing the most significant role in reducing Labour 's majority from 167 to 66 .","In the May 2005 general election, Michael Howard failed to unseated Labour's government, although the Conservatives gained 33 seats, playing the most important role in reducing Labour's majority from 167 to 66.","In the general election of May 2005, Michael Howard failed to unseat the Labour government, although the Conservatives gained 33 seats, played the most important role in reducing Labour's majority from 167 to 66.",IE,RTE2_dev.column_s1_547,"San Salvador , Jan. 13 , ' 90 ( Acan-Efe ) - The bodies of Hector Oqueli and Gilda Flores , who had been kidnapped yesterday , were found in Cuilapa , Guatemala , near the border with El Salvador , the relatives of one of the victims have reported .","The bodies of Hector Oqueli and Gilda Flores, who had been kidnapped yesterday, were found in Cuilapa, Guatemala, near the border with El Salvador, according to relatives of one of the victims.","The bodies of Hector Oqueli and Gilda Flores, kidnapped by yesterday, were found in Cuilapa, Guatemala near the border with El Salvador. The relatives of one of the victims have reported.",IE
RTE2_dev.column_s1_520,"A wooden steamer of 293 ft sank on 10 / 13 / 1902 , 13.5 miles North by Northwest of Fairport Harbor , Ohio . The lives of ten of the 19 persons on board were lost in the wreck .","A wooden steamer of 293 feet sank on 10 / 13 / 1902, 13.5 miles north northwest of Fairport Harbor, Ohio, 13.5 miles north of the wreck. Ten of the 19 people were killed in the wreck.","A wooden steamer of 293 ft sank in 20 / 13 / 1902, 13.5 miles north from Fairport Harbor, Ohio, 13.5 miles north of Ohio, the lives of ten of 19 people on board were lost.",IR,RTE2_dev.column_s1_439,"San Salvador , Jan. 13 , ' 90 ( Acan-Efe ) - The bodies of Hector Oqueli and Gilda Flores , who had been kidnapped yesterday , were found in Cuilapa , Guatemala , near the border with El Salvador , the relatives of one of the victims have reported .","The bodies of Hector Oqueli and Gilda Flores, who had been kidnapped yesterday, were found in Cuilapa, Guatemala, near the border with El Salvador, according to relatives of one of the victims.","The bodies of Hector Oqueli and Gilda Flores, kidnapped yesterday, were found near the border with El Salvador, near Cuilapa, Guatemala, reports have received from relatives of one of the victims.",IE
RTE2_dev.column_s1_318,Mount Olympus towers up from the center of the earth .,Mount Olympus towers high above the center of the earth.,Mount Olympus towers over the center of the Earth.,QA,RTE2_dev.column_s1_137,"Police sources stated that during the bomb attack involving the Shining Path , two people were injured .","Two people were injured in the Shining Path bomb attack, police sources said.","Two people were injured during the bomb attack involving the Shining Path, according to sources from police.",IE
RTE1_dev.column_s1_794,"The 7-4 defeat by Long Beach State , pushed the Cardinal to the brink in the double-elimination format of NCAA regionals .",The 7-4 defeat by Long Beach State pushes the Cardinal into the brink in the Double Elimination format of NCAA Regionals.,The 7-4 defeat by Long Beach State pushed the Cardinal into the brink of NCAA Regionals dual-elimination format.,CD,RTE2_dev.column_s1_327,"By 45,000 years ago , humans had weathered the comings and goings of a number of ice ages , had spread themselves throughout most of Africa , Europe and Asia , and had reached a population of roughly a million .","By 45,000 years ago, humans had enduring the coming and goings of a number of ice ages. They had spread themselves throughout most of Africa, Europe and Asia and had a population of around a million.","By 45,000 years ago, humans had survived the comings and goings of a number of ice ages, had spread through much of Africa, Europe and Asia, and had reached a population of about a million.",IR
RTE2_dev.column_s1_636,"Alzheimer 's disease is successfully treated , and controlled by drugs which inhibit the synthesis of beta-amyloid protein .",Alzheimer's disease is successfully treated and controlled by drugs that inhibit the synthesis of beta - Amyloid protein.,Alzheimer's disease is successfully treated and controlled by drugs that inhibit the synthesis of beta-amyloid protein.,IR,RTE2_dev.column_s1_355,"Albert Sabin developed an oral , attenuated ( live ) vaccine , which , with Salk 's discovery , brought polio under control .","Albert Sabin developed an oral, attenuated ( live ) vaccine that brought polio under control with Salk's discovery.",Albert Sabin developed an oral ( diluted ( live ) ) vaccine that brought polio under control with Salk's discovery.,IR
RTE2_dev.column_s1_416,Australia was one of the countries in the U.S. - led coalition that invaded Iraq in 2003 .,Australia was one of the nations in the U.S.-led coalition that invaded Iraq in 2003.,Australia was one of the countries in the U.S.-led coalition which invaded Iraq in 2003.,IE,RTE2_dev.column_s1_716,"The recent 14 % hike in third class postage rates , accompanied by simultaneous double-digit paper price increases , has hit smaller catalogers especially hard .","The recent increase of 14 % in third class postage, accompanied by simultaneous double-digit paper price rises, has hit smaller catalogers particularly hard.","The recent 14 % increase in third-class postage rates, accompanied by simultaneous double-digit paper price increases, has hit smaller cataloguers particularly hard.",IR
RTE3_dev.column_s1_766,"Molly Walsh , 21 , a George Washington University student shopping at a CVS pharmacy in Washington , D.C. , said she did n't plan to toss any of the store-brand drugs at home that she 'd bought to save money . Nor did she plan to stop buying the generic products .","Molly Walsh, 21, a George Washington University student in a CVS pharmacy in Washington, D.C., said she did not plan to buy any of the store-brand drugs, which she bought to save money, or stop buying the generic products.","Molly Walsh, 21, a George Washington University student who shopped at a CVS pharmacy in Washington, D.C., said she did not plan to discard any of the generic products she 'd bought at home to save money.",SUM,RTE1_dev.column_s1_791,"Police found four weapons-two semiautomatic machine guns , a .223-caliber rifle and two handguns in the vehicle .","The police found four weapons - two semiautomatic machine guns, a.223-caliber rifle and two handguns in the vehicle.","In the vehicle, police found four weapons - two semiautomatic machine guns, a.223-caliber rifle and two handguns.",CD
RTE3_dev.column_s1_555,"Not counting the 1986 catastrophe at Chernobyl , where the nuclear reactors are of a different design , the industry has so far succeeded .",The industry has succeeded so far without the disaster at Chernobyl in 1986 where the nuclear reactors are of a different design.,"If not for the 1986 Chernobyl catastrophe, where the nuclear reactors are different designs, the industry has succeeded.",QA,RTE1_dev.column_s1_805,Desko 's Orange beat Navy 1413 on Monday for the Division I title in men 's lacrosse .,"On Monday, Desko's Orange defeated Navy 1413 for the Division I title in men's lacrosse, Desko's Orange.",Desko's Orange beat Navy 1413 on Monday for the Division I title in men's lacrosse.,CD
RTE2_dev.column_s1_587,"ECB spokeswoman , Regina Schueller , declined to comment on a report in Italy 's la Repubblica newspaper that the ECB council will discuss Mr. Fazio 's role in the takeover fight at its Sept. 15 meeting .",ECB spokeswoman Regina Schueller declined to comment on a report in Italy's La Repubblica newspaper that the ECB Council will discuss Mr. Fazio's role in the takeover battle on Sept 15.,"Regina Schueller, ECB spokeswoman, declined to comment on a report in Italy's newspaper La Repubblica that the ECB Council will discuss Mr. Fazio's role in the takeover debate at its next meeting on September 15.",IE,RTE2_dev.column_s1_53,"The FMLN has prudently taken time before adopting a definite position , meanwhile the government has increased its detentions and attacked the residences of leaders of the Social Christian People 's Movement .","The FMLN has taken prudently time before adopting a clear position, while the government has expanded its detentions and attacked the residences of leaders of the Social Christian People's Movement.",The FMLN has taken some time to adopt a definite position prudently. In meanwhile the government has increased its detentions and attacked the residences of leaders of the Social Christian People's Movement.,IE
RTE2_dev.column_s1_33,"Muslims make up some 3.2 million of Germany 's 82 million people , and Turks represent two thirds of the minority .","Muslims make up around 3.2 million of Germany's 82 million people, and Turks represent two thirds of the minority.",Muslims constitute around 3.2 million of Germany's 82 million people and Turks represent two thirds of the minority.,IE,RTE3_dev.column_s1_117,"In 1969 , he drew up the report proposing the expulsion from the party of the Manifesto group . In 1984 , after Berlinguer 's death , Natta was elected as party secretary .","In 1969 he drew up the report, proposing the Manifesto group's expulsion from the party, Natta was elected party secretary in 1984, after Berlinguer's death.","In 1969, he drew up the report proposing expulsion from the party of the Manifesto Group, and Natta was elected party secretary in 1984 following Berlinguer's death.",IE
RTE2_dev.column_s1_736,The hullabaloo is over a glacial period dating to about 750 million to 600 million years ago .,The hullabaloo is over a glacial period that dates to roughly 750 million to 600 million years ago.,The hullabaloo is over a glacial period that dates to around 750 million to 600 million years ago.,IE,RTE1_dev.column_s1_992,Wal-Mart Stores has asked a US federal appeals court to review a judge 's order approving class-action status for a sex-discrimination lawsuit .,Wal-Mart Stores has requested a US federal appeals court to review a judge's order approving class action status for a sex discrimination case.,Wal-Mart Stores has requested a US federal appeals court to review the order from a judge approving class action status for a sex-discrimination lawsuit.,RC
RTE2_dev.column_s1_477,"He is the professor of theater and drama at Loyola University and the director of Wilson 's `` Two Trains Running , '' now onstage at Pegasus Players .",He is professor of theater and drama at Loyola University and the director of Wilson's  Two Trains Running '' which is now on stage at Pegasus Players.,"He is the Professor of Theatre and Drama at Loyola University, and the director of Wilson's  Two Trains Running '' now on stage at Pegasus Players.",IE,RTE2_dev.column_s1_495,"Moog 's synthesiser , which bears his name , revolutionised music from the 1960 s onwards , and was used by bands like The Beatles and The Doors .","Moog's synthesizer, which bears his name, revolutionised music from the 1960's onwards and was used by bands like The Beatles and The Doors.","The Moog - synthesizer, which bears his name, revolutionised music from the 1960s upwards and was used by bands like The Beatles and The Doors.",SUM
RTE3_dev.column_s1_602,Stolen Warhol works recovered : Amsterdam police said Wednesday that they have recovered stolen lithographs by the late U.S. pop artist Andy Warhol worth more than $ 1 million . Dali 's paintings are still missing .,"Stolen Warhol works recovered : Amsterdam police said Wednesday they have stolen lithographs from the late US pop artist Andy Warhol, whose works are still missing.","Amsterdam police say they have recovered stolen lithographs by the late US pop artist Andy Warhol worth more than $ 1 million, still missing Dali's paintings.",SUM,RTE1_dev.column_s1_764,Hepburn 's family will receive the proceeds from the sale .,The family of Hepburn's family will receive the proceeds from the sale.,Hepburn's family will receive the proceeds from the sale.,CD
RTE2_dev.column_s1_641,"Nicholas Cage 's wife , Alice Kim Cage , gave birth Monday , to Kal-el Coppola Cage , in New York City , said the actor 's Los Angeles-based publicist , Annett Wolf .","Nicholas Cage's wife, Alice Kim Cage, gave birth to Kal-el Coppola Cage in New York City on Monday, according to publicist Annett Wolf, the actor's Los Angeles - based actor.","The wife of Nicholas Cage, Alice Kim Cage, gave birth to Kal-el Coppola Cage, on Monday in New York City, the publicist from Los Angeles, Annett Wolf.",IE,RTE3_dev.column_s1_223,"Athletics ' governing body , the IAAF , last week cleared Ottey of accusations of steroid use and lifted a two-year ban after their arbitration panel said the IOC-accredited lab in Lausanne improperly tested Ottey 's urine sample .",IAAF last week cleared Ottey of accusations of steroids and lifted a two-year ban after their arbitration panel said that the IOC-accredited Lab in Lausanne improperly tested Ottey's urine sample.,"Last week, Athletics'governing body, the IAAF, cleared Ottey of accusations of Steroid use and lifted a two-year ban after their arbitration panel said the IOC - accredited lab in Lausanne Ottey's urine sample was incorrectly tested.",IR
RTE2_dev.column_s1_402,"`` The aftershocks were less in the past two months , but they seem to be starting again . We are really worried about the fate of these islands , `` Smriti Kana Saha of Ranjat village , in the Middle Andaman Island , told Reuters by phone .","We are really worried about the fate of these islands,  Smriti Kana Saha of Ranjat village, in Middle Andaman Island told Reuters by phone.","We are really worried about the fate of these islands,  Smriti Kana Saha of Ranjat village, in the middle of Andaman island, said by phone with Reuters.",IE,RTE2_dev.column_s1_227,"Second-half goals , from Danny Mills and Darius Vassell , lifted Manchester City to a 2-0 victory over Everton .",Second half goals by Danny Mills and Darius Vassell lifted Manchester City to a 2-0 victory over Everton.,Manchester City brought away a 2-0 victory over Everton with second-half goals from Danny Mills and Darius Vassell.,IE
RTE1_dev.column_s1_1173,"The poll also showed that a higher percentage of Americans ( 65 % ) believe that even if the investigation proceedings actually began , Clinton ought not to be removed .","The poll also found that a higher percentage of Americans ( 65 % ) believe that even if the investigation was actually started, Clinton should not be removed.","The poll also indicated that a higher percentage of Americans ( 65 % ) believe that even if the investigation proceedings actually started, Clinton should not be removed.",MT,RTE1_dev.column_s1_918,Toshiba has produced a fuel cell with no moving parts .,Toshiba has produced a fuel cell without moving parts.,"Toshiba has produced a fuel cell without moving parts, producing a cell without moving parts.",RC
RTE2_dev.column_s1_662,Maine knows he killed Lennon and that he is also a child molester . During the ' 92 election George Bush admitted twice on TV `` Nobody likes who shot John . .. I know the media is fascinated with this story but . .. ``,"During the 1992 election, George Bush admitted twice on TV  Nobody likes who shot John.. I know the media is fascinated with this story, but.. ","During the '92 election, George Bush admitted twice on TV  Nobody likes who shot John... I know the media is fascinated with this story but..",QA,RTE1_dev.column_s1_198,"Even though the rug was ripped out from under Lollapalooza this week , Jane 's Addiction frontman Perry Farrell is optimistic that the eclectic music festival he co-founded in 1991 will resurface and it might be sooner than you think .","Even though this week the rug was ripped from underneath Lollapalooza, Jane's Addiction frontman Perry Farrell is optimistic that the eclectic music festival, which he co-founded in 1991, will resurface and maybe sooner than you think.","Even though the rug has been ripped off at Lollapalooza this week, Jane's addiction frontman Perry Farrell is optimistic that the eclectic music festival he founded in 1991 will resurface and might be sooner than you think.",RC
RTE1_dev.column_s1_2098,U.S. consumer spending dived in June .,"In June, consumer spending in the United States dived.",The U.S. consumer spending in June plunged.,MT,RTE2_dev.column_s1_285,He also developed a breath test that could detect sulfur compounds emitted from the H. pylori .,He also developed a breath test which could detect sulfur compounds emitted by H. pylori.,He also developed a breath test that could detect sulfur compounds released by H. pylori.,IE
RTE1_dev.column_s1_1976,Bomb-sniffing dogs were brought to Rodriguez 's Mulberry St. apartment .,Bomb-sniffing dogs were brought to Rodriguez's Mulberry St. apartment.,Bomb - sniffing dogs were brought to Rodriguez's Mulberry St. apartment.,PP,RTE3_dev.column_s1_759,"CVS will stop selling its own brand of 500-milligram acetaminophen caplets and pull bottles from store shelves nation wide , spokesman Mike DeAngelis said .","CVS will stop selling its own 500-milligram acetaminophen caplets and pull bottles from stores nationwide, said spokesperson Mike DeAngelis.","CVS will stop selling its own 500-milligram acetaminophen caplets and collect bottles from the store shelves, said spokesperson Mike DeAngelis.",SUM
RTE1_dev.column_s1_2191,Saudi Arabia was boosting its production .,Saudi Arabia had boosted its production.,Saudi Arabia was increasing its production.,CD,RTE1_dev.column_s1_540,"Microsoft for instance , one of the world 's largest software companies , lost more than an estimated 500 million dollars last year because of software theft .","For example, Microsoft, one of the world's largest software companies, lost more than an estimated 500 million dollars in software theft last year.","Microsoft, for example, one of the largest software companies in the world, lost more than an estimated 500 million dollars this year due to software theft.",PP
RTE1_dev.column_s1_2166,"In Wednesday 's filing , Google said it planned to complete the IPO `` as soon as practicable . ''","In Wednesday's filing, Google said it was planning to complete the IPO  as soon as practicable ''.","In Wednesday's filing, Google said it planned to complete the IPO  as soon as possible ''.",CD,RTE2_dev.column_s1_259,"Earlier this year , Kai-Uwe Ricke , chief executive of Deutsche Telekom , floated the possibility that T-Mobile USA might be sold .","Earlier this year, Kai-Uwe Ricke, chief executive of Deutsche Telekom, has floated the possibility of selling T-Mobile USA.","In earlier this year, Kai-Uwe Ricke, CEO of Deutsche Telekom, speculated on the possibility that T-Mobile USA might be sold.",IE
RTE1_dev.column_s1_1490,"`` It 's Only a Play '' is Terrence McNally 's `` Give My Regards to Broadway , '' a lightweight tribute to the theater as seen from the lofty but limited vantage point of Broadway artists who are consumed by New York 's hit / flop mentality ."," It's Only a Play '' is Terrence McNally's  Give My Regards to Broadway  a light tribute to the theater as seen from the lofty but limited vantage point of Broadway artists, consumed by New York's hit - flop mentality."," It's Only a Play '' is Terrence McNally's  Give My Regards to Broadway '', a light tribute to the theater as seen from the lofty but limited vantage point of Broadway artists consumed by New York's hit / flop mentality.",QA,RTE3_dev.column_s1_345,"The eighth Paralympic Winter Games are set to take place in Salt Lake City , Utah . For only the second time the Games are being held outside Europe , following the 1998 Winter Paralympics in Nagano , Japan . And for the first time ever , there is just one combined organising committee for both the Winter Olympic and Paralympic Games . Just 10 days after the Winter Olympics concludes , the Paralympics will begin in the same venue .","For the first time ever, the Games are held outside Europe, following the 1998 Winter Paralympics in Nagano, Japan, and for the first time ever there is only one combined organising committee for both the Winter Olympic and Paralympic Games. Just 10 days after the winter Olympics ends, the Paralympics begin at the same venue.","For only the second time the games are held outside Europe following the 1998 Winter Paralympics in Nagano, Japan. And for the first time ever there is only one combined organising committee for both the Winter Olympic and Paralympic Games. Just 10 days after the Winter Olympics are finished, the Paralympics begin at the same venue.",IR
RTE1_dev.column_s1_2105,"Brazil , Australia and Thailand argued that the EU , one of the world 's largest exporters , broke WTO farm rules by exceeding limits on export subsidies laid down under WTO 's 1994 Agreement on Agriculture .","Brazil, Australia and Thailand argue that the EU, one of the world's largest exporters, drew in violation of WTO - farm rules by exceeding the limits on export subsidies, which were laid down under the 1994 agreement on agriculture of the WTO.","Brazil, Australia, and Thailand argued that the EU, one of the world's largest exporters, broke WTO farm rules by exceeding the limits of export subsidies set out in the 1994 WTO agreement on agriculture.",MT,RTE1_dev.column_s1_478,Putin and Bush say Iran does n't have evil nuclear ambitions .,Putin and Bush say Iran has no evil nuclear ambitions.,Putin and Bush say that Iran doesn't have evil nuclear ambitions.,PP
RTE1_dev.column_s1_1631,`` Sculptures by Duane Hanson '' is an exhibition of lifelike people sculptures created by this Minnesota born artist ., Sculptures by Duane Hanson '' is an exhibition of lifelike human sculptures created by this Minnesota-born artist., Sculptures by Duane Hanson '' is an exhibition of Lifelike People sculptures created by the Minnesota-born artist.,IE,RTE1_dev.column_s1_2154,The GDP report showed growth in business outlays advanced at a solid 8.9 % pace .,"The GDP - report, reported, shows that the growth of business investments advanced at a solid 8.9 % pace.","The GDP report, meanwhile, showed that the growth in business expenditures had advanced at a solid 8.9 % pace.",CD
RTE3_dev.column_s1_663,One of Argentina 's top Falkland negotiators said Mr Hurd 's visit the first by a cabinet minister since the 1982 Falklands conflict meant we are on our way to a broader richer relationship in which the islands are only a part of the relationship not the only issue .,"One of Argentina's top Falkland negotiators said that Mr Hurd's visit, the first of a cabinet minister since 1982 during the Falklands conflict, meant that we are on our way to a broader richer relationship where the islands are only part of the relationship, not the only.","One of Argentina's top Falkland negotiators said that Mr Hurd's visit the first to a Cabinet minister since 1982's Falklands conflict meant we are on our way to a deeper richer relationship, where the islands are not the only problem of the relationship, but only a part.",SUM,RTE3_dev.column_s1_619,The investigation involving Mr Lopez and three associates are primarily concerned with suspicions of the systematic theft of secrets .,The investigation involved Mr Lopez and three associates mainly involves suspicion of the systematic theft of secrets.,The investigation involving Mr Lopez and three associates consists mainly of suspicions of systematic theft of secrets.,SUM
RTE2_dev.column_s1_785,"This paper discusses marijuana , crack / cocaine , tranquilizers , hallucinogens , amphetamines , heroin , alcohol , nicotine and caffeine to provide a framework for the author 's argument that the legalization of drugs can in no way be deemed as ethical or moral .","This paper discusses marijuana, crack / cocaine, tranquilizers, hallucinogens, amphetamines, heroin, alcohol, nicotine and caffeine to provide a framework for the author's argument that the legalization of drugs can not be considered ethical or moral.","This paper discusses marijuana, crack / cocaine, tranquilizers, hallucinogens, amphetamines, heroin, alcohol, nicotine and caffeine, to provide a framework for the author's argument that the legalization of drugs can not be considered ethical or moral.",IR,RTE1_dev.column_s1_1614,CBS newsman Harry Reasoner is returning to his Iowa hometown to get married Saturday .,CBS Newsman Harry Reasoner is back in his hometown of Iowa for the weekend to get married.,CBS newsman Harry Reasoner will return to his Iowa hometown to get married on Saturday.,IE
RTE2_dev.column_s1_123,Farabundo Marti National Liberation Front 's ( FMLN ) urban commandos have denied reports they participated in an attack on vice president-elect Francisco Merino 's home .,Urban commandos of the Farabundo Marti National Liberation Front ( FMLN ) have denied reports they participated in an attack on Vice President-elect Francisco Merino's house.,Regional commandos of Farabundo Marti National Liberation Front ( FMLN ) denied reports they participated in an attack on vice president-elect Francisco Merino's home.,IE,RTE1_dev.column_s1_1211,"The Croatian will face competition , especially from the American of Chinese origin , Michael Chang , second-seeded in the tournament . Organizers hope that the tournament will contribute to advancing tennis in their countries .","The Croatian will face competition in the tournament, particularly from American of Chinese origin, Michael Chang, who is second -ranked. Organizers hope that the tournament will contribute to advancement of tennis in their countries.","Croatian players will face competition from the American of Chinese origin, Michael Chang, who was second in the tournament, and organizers hope that the tournament will contribute to the sport of tennis in their countries.",MT
RTE3_dev.column_s1_395,"We present a novel approach to enhance avalanche companion rescue using wearable sensing technologies . The time to find and extricate victims is most crucial : once buried by an avalanche , survival chances drop dramatically already after the first 15 minutes .",We present a novel approach to enhance the rescue of avalanche companions using wearable sensing technologies. The time for finding and extricating victims is most crucial : survival chances of survivors that are already buried by an avalanche are drastically reduced after the first 15 minutes.,"The time is most crucial to find and extricate victims once buried by an avalanche, survival chances drop dramatically after the first 15 minutes.",IR,RTE3_dev.column_s1_423,"Canada is officially a bilingual country but , with nearly 60 % of the population speaking English as their mother-tongue , and only 24 % speaking French as their first language , some people are questioning whether Canada is truly a bilingual nation or rather , a bilingual nation on paper only . French is not the only linguistic minority in Canada , and some of the languages spoken , in order of popularity , are Chinese , Italian , German , Polish , Spanish , Portuguese , Punjabi , Ukrainian , Arabic , Dutch , Tagalog , Greek , Vietnamese , Cree and Inuktitut .","Canada is officially a bilingual country, but with nearly 60 % of the population speaking English as their mother tongue, and only 24 %, speaking French as their first language, some people are questioning whether Canada is truly a bilingual nation or rather, a bilingual nation on paper, French is not the only linguistic minority in Canada, and some of the languages spoken are, in order of popularity, Vietnamese, Cree and Inuktitut.","Canada is officially a bilingual country, but, with nearly 60 % of the population speaking English as their mother tongue, and only 24 % speaking French as their first language, some people are questioning whether Canada is really a bilingual nation or, on paper only, a bilingual nation.",QA
RTE3_dev.column_s1_661,The dam covering what used to be its football pitch fill up with millions of tons of poisonous mining waste .,The dam over what used to be its football pitch fills up with millions of tons of toxic mining waste.,The dam covering what used to be its football pitch filled with millions of tons of toxic mine waste filling up.,SUM,RTE1_dev.column_s1_969,Doug Lawrence bought the impressionist oil landscape by J. Ottis Adams in the mid-1970 s at a Fort Wayne antiques dealer .,Doug Lawrence bought the impressionist oil landscape by J. Ottis Adams in the mid-1970s at an antique dealer in Fort Wayne.,"In the mid-1970s, Doug Lawrence purchased the impressionist oil landscape by J. Ottis Adams from a Fort Wayne antiques dealer.",PP
RTE1_dev.column_s1_503,"During Ramadan , Muslims will gather at the mosque for nightly prayer sessions and evening meals .",Muslim Christians will gather in the mosque for nightly prayer sessions and evening meals during Ramadan.,"During Ramadan, Muslims gather in the mosque for nightly prayer and evening meals.",PP,RTE2_dev.column_s1_220,"Two persons were injured in dynamite attacks perpetrated this evening against two bank branches in this northwestern , Colombian city .","Two people were wounded in this evening, in dynamite attacks against two banks in this northwestern Colombian city.","Two people were injured in dynamite attacks this evening at two bank branches in this northwestern, Colombian town.",IE
RTE1_dev.column_s1_698,Saint John 's Cathedral is the oldest church in Warsaw .,Saint John's Cathedral is the oldest church in Warsaw.,Saint John's Cathedral is Warsaw's oldest church.,CD,RTE1_dev.column_s1_1950,Crude oil dips below $ 43 on news that Russia 's justice ministry will not force Yukos to halt sales .,Crude oil drops below $ 43 on news that Russia's justice ministry will not force Yukos to stop sales.,Crude oil falls below $ 43 on news that Russia's Justice Ministry will not force Yukos to stop selling.,IE
RTE1_dev.column_s1_2095,Scientists had thought all gamma-ray bursts had a standard energy .,Scientists had thought that all gamma ray bursts had a standard energy.,Scientists had thought all gamma ray bursts had a standard energy.,MT,RTE3_dev.column_s2_457,The movie ' Speed ' was directed by Jan De Bont .,'Spoil'' was directed by Jan De Bont.,"The film,'Speed ', was directed by Jan De Bont.",QA
RTE3_dev.column_s2_715,"Before the late 1980 's some nations even gave land and tax credit to individuals and companies slashing , burning , and exploiting the forest .","Before the late 1980s some nations even gave land and tax credits to individuals and companies cutting, burning and exploiting the forest before the late 1980s.","Before the late 1980s, some nations even gave land and tax credits to individuals and businesses slashing, burning and exploiting forests.",SUM,RTE3_dev.column_s2_787,Democrats won the elections three years ago .,"Three years ago, the Democrat party won the election.",The Democratic party won the elections three years ago.,SUM
RTE3_dev.column_s2_408,Elizabeth the Second 's father was George VI .,Elizabeth the Second's father was George VI.,George VI was George the Second's father.,QA,RTE3_dev.column_s2_505,Mars is called ' the red planet ' .,Mars is called'the red planet '.,Mars is called the red planet's name.,QA
RTE3_dev.column_s2_267,Glue-sniffing is common among youngsters .,Glue-sniffing among youth is common.,Younger children are common to glue -sniffing.,IR,RTE1_dev.column_s2_202,A man was stabbed because of a soccer game .,A man was stabbed in a soccer game.,A man was stabbing while playing soccer.,RC
